fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 194647	-0.446573107190901	1770	792	17	5	9743000	89
20220517 194711	-0.486627201518348	2202	32	6	5	9201000	90
20220517 194749	-0.539541997818951	1656	318	20	5	10007000	91
20220517 194824	-0.496957528111577	1283	535	20	5	9569000	92
20220517 194900	-0.0862985316656548	4499	192	20	5	9464000	93
20220517 194930	-0.0170786971269751	2060	825	15	5	10036000	94
20220517 194956	-0.812326758690229	5274	1912	9	5	8423000	95
20220517 195015	-0.0179390613240638	814	396	4	5	8875000	96
20220517 195058	-0.509457057671061	1892	21	20	5	8027000	97
20220517 195128	-0.527813421091153	1626	524	10	5	9687000	98
20220517 195154	-0.0178706937240615	4168	946	8	5	9552000	99
20220517 195231	-0.891835248872251	1684	87	14	5	9718000	100
20220517 195303	-0.485971875059796	1591	779	15	5	9538000	101
20220517 195342	-0.468001138172056	672	242	20	5	9174000	102
20220517 195415	-0.536523734856529	7532	229	18	5	8355000	103
20220517 195451	-0.138948398452103	864	397	20	5	9290000	104
20220517 195525	-0.172301516267075	1064	526	20	5	10144000	105
20220517 195556	-0.909862050636327	1827	913	17	5	10241000	106
20220517 195612	-0.504360123843176	2652	1302	3	5	8994000	107
20220517 195655	-0.165101938336169	175	76	20	5	6981000	108
20220517 195726	-0.178735916954065	2308	878	18	5	10307000	109
20220517 195755	-0.174198108808047	2166	706	9	5	10015000	110
20220517 195829	-0.152390264438271	1857	571	14	5	9937000	111
20220517 195911	-0.911314536373068	2193	2	15	5	9318000	112
20220517 195927	-0.0388198563811751	1868	836	3	5	8866000	113
20220517 200003	-0.182276593654465	3555	287	17	5	9438000	114
20220517 200032	-0.173582871831227	3075	1487	20	5	8811000	115
20220517 200105	-0.471718058886961	2368	542	20	5	10108000	116
