fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220608 015122	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	511	TRUE	999983	0.0100270404042606	0.996571952849251	3044	317	0.0153996967962144	13171000	35
20220608 015331	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1023	TRUE	999983	0.0100522829606429	0.238336144629304	3135	794	0.016865719634494	13508000	36
20220608 015442	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	473	TRUE	999983	0.0166767682518999	0.263417776833604	2823	16	0.0170651570348929	13410000	37
20220608 015640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1036	TRUE	999983	0.0100375796020164	0.206842501807988	5487	1023	0.012927104416595	13306000	38
20220608 015845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	771	TRUE	999983	0.0101011169346298	0.526256426857465	5948	617	0.0174866800801591	13731000	39
20220608 020007	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	383	TRUE	999983	0.0100092736718104	0.644827038855082	2130	99	0.017851992269077	13794000	40
20220608 020134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	454	TRUE	999983	0.010110888452229	0.595874171350628	2945	591	0.0175335804061601	13823000	41
20220608 020318	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	645	TRUE	999983	0.0109920276274728	0.584955893325575	3269	157	0.0175708793832577	13576000	42
20220608 020342	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	999983	0.030254892777076	0.745248647130676	610	17	0.0173153827097332	12969000	43
20220608 020518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	646	TRUE	999983	0.0103101827952294	0.568609354580899	8000	578	0.0179579392852027	13343000	44
20220608 020630	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	424	TRUE	999983	0.0101597135590661	0.743288201344059	2502	519	0.0176212508915632	13778000	45
20220608 020712	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	229	TRUE	999983	0.0202231578219559	0.877085436204481	2427	80	0.0185491066038328	13568000	46
20220608 020941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1110	TRUE	999983	0.0100250688740754	0.455788449868843	5903	921	0.0173137155379637	13715000	47
20220608 021140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	558	TRUE	999983	0.0101044010270547	0.52787154594544	4984	691	0.0176028416208328	13701000	48
20220608 021227	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	999983	0.0129617451304192	0.51194417636636	4316	998	0.00833680605276631	11464000	49
20220608 021340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	402	TRUE	999983	0.0113203356890876	0.629885177084497	2294	36	0.0133672219917314	13580000	50
20220608 021510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	649	TRUE	999983	0.0100187447743513	0.601129119168292	5624	874	0.014380865428365	13534000	51
20220608 021522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	999983	0.133712971890311	0.637054568561042	2388	45	0.0173178253722415	13295000	52
20220608 021712	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	692	TRUE	999983	0.0103381128584127	0.678269615507739	2198	589	0.0139792913701462	13667000	53
20220608 021831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	760	TRUE	999983	0.0100318943673539	0.643756560092787	6655	19	0.0177743746217416	13336000	54
20220608 022009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	404	TRUE	999983	0.010183195668232	0.524538217896341	2403	631	0.0178354035675339	13546000	55
20220608 022124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	404	TRUE	999983	0.0100627466629827	0.679126677381963	3108	559	0.0172775435183963	13588000	56
20220608 022243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	453	TRUE	999983	0.0100154780706471	0.821443053928325	2246	369	0.0145779019868373	13694000	57
20220608 022355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	355	TRUE	999983	0.0101318790937424	0.828110126404833	2115	480	0.016477116086617	13700000	58
20220608 022520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	528	TRUE	999983	0.0109151971035843	0.856735074806096	2339	513	0.0132126188562456	13304000	59
20220608 022544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	999983	0.0486185926070311	0.605185858327698	2346	408	0.015361255361323	13380000	60
20220608 022710	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	507	TRUE	999983	0.0103500067199501	0.354882010288016	5333	598	0.0141645375639513	13399000	61
20220608 022831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	742	TRUE	999983	0.0100612158192292	0.852489195693955	6017	675	0.0179955895169802	13239000	62
20220608 023021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	429	TRUE	999983	0.0100240347427624	0.985220191793925	2139	923	0.0177079503617406	13336000	63
20220608 023137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	442	TRUE	999983	0.0100259736857361	0.771351838528204	3265	94	0.0158784292942466	13640000	64
20220608 023303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	525	TRUE	999983	0.0107510875568125	0.368505879433227	6097	736	0.0178287235304833	13538000	65
20220608 023546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1450	TRUE	999983	0.0100180961635187	0.229595974410583	2470	224	0.0114278658861026	13270000	66
20220608 023559	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	999983	0.133913719898298	0.580719445429579	7060	1024	0.0176030186203668	12966000	67
20220608 023609	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	999983	0.193889787850143	0.200522830916533	7998	16	0.0118005446146657	13012000	68
20220608 023825	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1266	TRUE	999983	0.0101549098607916	0.28106539168109	5869	16	0.0117580979572556	13026000	69
20220608 023833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	999983	0.290753087168869	0.200632944311143	2793	16	0.01216936842274	11747000	70
20220608 023939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	667	TRUE	999983	0.0204874090401678	0.201495116597742	7998	43	0.0170478770227002	13422000	71
20220608 024146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1272	TRUE	999983	0.0105428386525989	0.200302217854203	7999	296	0.0123143647701758	13081000	72
20220608 024208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	999983	0.187062913214141	0.420979540212695	7992	17	0.0176182894431685	12966000	73
20220608 024400	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	758	TRUE	999983	0.0101307307433872	0.260714546435211	2154	270	0.0175557665521185	13558000	74
20220608 024538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	489	TRUE	999983	0.0101319801004392	0.596026776560338	2676	873	0.0167894474821872	13843000	75
20220608 024659	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	525	TRUE	999983	0.0100014480293031	0.601194533868463	5857	291	0.0177570643954085	13356000	76
20220608 024710	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	999983	0.257098265841211	0.22619936365703	8000	994	0.013891554624673	12877000	77
20220608 024823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	789	TRUE	999983	0.0102775980140005	0.967649622336028	7804	16	0.0255843169654339	11891000	78
20220608 024947	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	544	TRUE	999983	0.0101499068988185	0.773714452354086	2436	736	0.0151597218383159	13442000	79
20220608 025038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	404	TRUE	999983	0.0110798511268145	0.813147164408933	7982	24	0.0143872748170916	13098000	80
20220608 025047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	10	TRUE	999983	0.298083735731639	0.995200208579659	2067	1024	0.0148228736442537	11922000	81
20220608 025054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	999983	0.292180257669358	0.827767240504332	7554	16	0.0178183522809609	12911000	82
20220608 025240	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	566	TRUE	999983	0.0102821761730395	0.581359839548706	2542	968	0.0172204787417191	13537000	83
20220608 025425	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	739	TRUE	999983	0.0101555701666211	0.286066579862586	5778	925	0.016738491310162	13490000	84
20220608 025516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	228	TRUE	999983	0.0213860529010408	0.463693390151369	6572	822	0.0167284580574909	13582000	85
20220608 025536	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	999983	0.139955507889507	0.200315986371808	7994	568	0.0175572970272831	13555000	86
20220608 025719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1035	TRUE	999983	0.0100517742437697	0.813949056329603	5040	150	0.0176286923868638	13058000	87
20220608 025728	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	999983	0.131490795823569	0.955881928448921	7995	903	0.0173826382558817	12996000	88
20220608 025738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	999983	0.22625483809938	0.200027573687689	7994	243	0.0178228351747828	12821000	89
20220608 025750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	999983	0.156108463112349	0.200149057199892	7999	610	0.0111503552153898	12662000	90
20220608 025916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	757	TRUE	999983	0.0114198191443201	0.201399643459409	7978	979	0.0178688991598643	13414000	91
20220608 025943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	180	TRUE	999983	0.0355436407584652	0.200075333466327	7982	586	0.0227405222053284	12641000	92
20220608 030100	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	690	TRUE	999983	0.0101269773257027	0.91721743017755	5397	1021	0.0168601765074561	13101000	93
20220608 030233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	489	TRUE	999983	0.0105096028557406	0.587939214606345	2832	872	0.0146387887050849	13650000	94
20220608 030426	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	999983	0.0100825246956156	0.261805373261796	11	524	0.0131201004264509	3341000	95
20220608 030443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	75	TRUE	999983	0.0961182935641808	0.839035437187973	1318	16	0.018102501415918	12888000	96
20220608 030455	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	999983	0.129812548638692	0.200359312756879	2837	1014	0.015673434404324	12881000	97
20220608 030504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	999983	0.277832415177249	0.63626007964054	4640	17	0.0162129695961902	12938000	98
20220608 030519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	999983	0.105170199008738	0.200119416219148	7220	19	0.0154376305482541	13340000	99
20220608 030527	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	999983	0.299967418422925	0.657391681264226	7998	835	0.0179413033582819	12793000	100
20220608 030704	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	726	TRUE	999983	0.0102628242442964	0.220737993230489	3728	230	0.0162779424181097	13501000	101
20220608 030718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	999983	0.1017855197415	0.611150819241244	6091	644	0.0174207057857987	13336000	102
20220608 030725	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	11	TRUE	999983	0.299960142501406	0.99972278107695	6693	1023	0.0199575808983743	12503000	103
20220608 030840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	369	TRUE	999983	0.0100372544264363	0.734035277076129	2055	233	0.0168359022611336	13720000	104
20220608 030918	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	124	TRUE	999983	0.0104479618705486	0.99950354781331	530	23	0.0166664639566342	12910000	105
20220608 031031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	778	TRUE	999983	0.0102955402643373	0.798186969323073	7999	1024	0.0178138422419979	13130000	106
20220608 031156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	548	TRUE	999983	0.0106045942726689	0.632785411066981	2666	603	0.0177538244558136	13619000	107
20220608 031206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.152528265140009	0.710360085170227	7999	16	0.0172184546649856	13098000	108
20220608 031258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	270	TRUE	999983	0.0232080668373569	0.371760940378436	2480	116	0.017273016241649	13228000	109
20220608 031312	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	999983	0.0931081082551189	0.743392152153433	2069	889	0.0167569920636314	13415000	110
20220608 031320	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	16	TRUE	999983	0.299192684049304	0.983363149909568	7996	576	0.0172557869428892	12881000	111
20220608 031354	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	219	TRUE	999983	0.0343417040529606	0.205319972908855	2753	287	0.0174720992152218	13797000	112
20220608 031402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	13	TRUE	999983	0.299499055975239	0.753292463312438	2210	19	0.0176988184497647	11443000	113
20220608 031416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	999983	0.136835046928553	0.586701196246443	5270	16	0.0167720334347134	13276000	114
20220608 031428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	999983	0.138204144293156	0.200051332290242	7716	878	0.017440577152398	13318000	115
20220608 031438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	999983	0.252078567840363	0.584011466224806	7357	466	0.0166488571410495	13074000	116
20220608 031615	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	587	TRUE	999983	0.0111588708627471	0.583778847978858	5174	585	0.0167893213480996	13589000	117
20220608 031736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	774	TRUE	999983	0.0101078061410922	0.743217280398656	2120	23	0.0176701915511288	13369000	118
20220608 031857	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	333	TRUE	999983	0.0104108577498399	0.914138074817484	1362	131	0.0157917992815401	13398000	119
20220608 031906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	999983	0.299866533056255	0.598898492013442	7978	16	0.0139194233499727	12542000	120
