fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220610 011447	0	0	0	1	auto	depthwise	256	0	1	0.299669883272332	0.200276983284044	10	2	0.0334845986797506	71	10354000	101
20220610 011545	0	0	0	1	auto	depthwise	256	0	1	0.299918677931374	0.200371725003705	10	2	0.0125894847493823	115	12387000	102
20220610 024247	0	0	0	1	auto	depthwise	256	0	1	0.010060070344815	0.996492385106838	2	16	0.0152675072940946	445	12776000	103
20220610 025934	0	0	0	1	auto	depthwise	256	0	1	0.0100448854445858	0.202068353546071	8	12	0.0232428327085783	489	12410000	104
20220610 032738	0	0	0	1	auto	depthwise	256	0	1	0.0103636593296172	0.42944629401897	4	8	0.0162082296575951	609	13461000	105
20220610 033417	0	0	0	1	auto	depthwise	256	0	1	0.299876962374497	0.999863389712612	2	30	0.0189652756514333	2	8569000	106
20220610 033640	0	0	0	1	auto	depthwise	256	0	1	0.132506652096453	0.986253174617563	10	2	0.01384315299457	82	13043000	107
20220610 040443	0	0	0	1	auto	depthwise	256	0	1	0.0100361628360424	0.492368462451659	2	6	0.0154520516318194	758	13374000	108
20220610 040642	0	0	0	1	auto	depthwise	256	0	1	0.151334590291469	0.530317705772177	8	2	0.0163447768326026	127	13476000	109
20220610 041357	0	0	0	1	auto	depthwise	256	0	1	0.0103077331001398	0.200533773661461	10	2	0.0416897670776492	993	9689000	110
20220610 050901	0	0	0	1	auto	depthwise	256	0	1	0.0102010783536237	0.994730213182936	7	19	0.0136927882377021	172	13336000	111
20220610 052300	0	0	0	1	auto	depthwise	256	0	1	0.0103605174007965	0.220105165185281	3	6	0.01628775366153	638	13490000	112
20220610 053231	0	0	0	1	auto	depthwise	256	0	1	0.0101654663004155	0.200103633606063	0	2	0.0214308477316736	1346	13089000	113
20220610 054116	0	0	0	1	auto	depthwise	256	0	1	0.0100690839447392	0.200156563561707	9	3	0.0299424503462287	837	11880000	114
20220610 060720	0	0	0	1	auto	depthwise	256	0	1	0.0100165470739322	0.394732151563618	10	30	0.0136794750368544	264	13569000	115
20220610 064002	0	0	0	1	auto	depthwise	256	0	1	0.0100955948495437	0.676389236202779	10	18	0.0111757429729055	125	13281000	116
20220610 064059	0	0	0	1	auto	depthwise	256	0	1	0.299911265279838	0.202700883134212	0	2	0.026226034923938	72	10326000	117
20220610 065722	0	0	0	1	auto	depthwise	256	0	1	0.0115635915029488	0.461766493680972	8	6	0.0159809665806146	370	13546000	118
20220610 072853	0	0	0	1	auto	depthwise	256	0	1	0.0101122567691168	0.619263021773113	0	6	0.0211633552742236	629	12434000	119
20220610 073007	0	0	0	1	auto	depthwise	256	0	1	0.181131156089198	0.20009456650165	10	2	0.0105521667799493	143	12680000	120
