fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220609 034801	0	0	0	1	hist	lossguide	256	0	1	0.0144379062528775	0.923021112633875	9	875	0.0133395232980822	203	13035000	107
20220609 034826	0	0	0	1	hist	lossguide	256	0	1	0.295780242640667	0.999899414505054	10	137	0.00837450634570735	9	10553000	108
20220609 035227	0	0	0	1	hist	lossguide	256	0	1	0.0102091197165487	0.58703491776821	10	611	0.024124252492822	412	11950000	109
20220609 035613	0	0	0	1	hist	lossguide	256	0	1	0.0104252960555216	0.749538131636971	6	1024	0.0122177868507906	210	13095000	110
20220609 035853	0	0	0	1	hist	lossguide	256	0	1	0.0101058523710034	0.200225467800149	10	649	0.00874009746495549	52	12354000	111
20220609 040254	0	0	0	1	hist	lossguide	256	0	1	0.0109725844023832	0.341125964850114	5	1022	0.0188456206923365	291	12565000	112
20220609 040350	0	0	0	1	hist	lossguide	256	0	1	0.0718858180667012	0.997774151146239	6	2	0.0152381907229561	353	13141000	113
20220609 040736	0	0	0	1	hist	lossguide	256	0	1	0.010091169384626	0.994555012277394	4	368	0.00992540905588645	87	12920000	114
20220609 041202	0	0	0	1	hist	lossguide	256	0	1	0.0106913101857832	0.204615099870273	10	816	0.0153904621702033	555	13286000	115
20220609 041523	0	0	0	1	hist	lossguide	256	0	1	0.0103396211011058	0.659302126742862	4	661	0.00836552438556881	57	12718000	116
20220609 041946	0	0	0	1	hist	lossguide	256	0	1	0.0100541122186683	0.2031320170672	7	353	0.0227451255276052	410	12300000	117
20220609 042048	0	0	0	1	hist	lossguide	256	0	1	0.0656425608476449	0.200385544560981	4	893	0.0117438486423291	22	12039000	118
20220609 042117	0	0	0	1	hist	lossguide	256	0	1	0.29009736212081	0.340563104739697	10	3	0.0155407778285951	103	12421000	119
20220609 042145	0	0	0	1	hist	lossguide	256	0	1	0.299835248580865	0.200520538496479	7	354	0.0179681967475535	9	11065000	120
