Feature	Gain	Cover	Frequency
Visa_mpagospesos	0.0074388470115942	0.00891686409166601	0.0137928071155416
mpagomiscuentas	0.00670976800855711	0.0160696061616666	0.0109998710952606
mtransferencias_emitidas	0.00653342941311352	0.00738823691420634	0.0128045374468268
Visa_mlimitecompra	0.00647354077551837	0.0132169679498503	0.0112576805740558
Master_mlimitecompra	0.00609382843583079	0.00648301133350974	0.0106561251235337
Master_mpagospesos	0.00603310537297735	0.016001750318954	0.00850771280024062
cproductos	0.00575766454812082	0.00506563238298394	0.00614445924461823
mcomisiones_mantenimiento	0.00563191611535667	0.00657249208785953	0.00730460189919649
ctransferencias_recibidas	0.00527164004665112	0.0116579103462654	0.00726163365273063
mtarjeta_visa_debitos_automaticos	0.005180278324973	0.00637161896161844	0.00928114123662613
mautoservicio	0.00492727479084198	0.0153410452744137	0.0199802346066257
ctarjeta_debito_trx	0.00465674986561757	0.0255020023176038	0.0277574872169467
ccaja_ahorro	0.00455416322218927	0.0192715091893725	0.00618742749108409
Visa_cconsumos	0.00426760305169667	0.00494737966152477	0.00906630000429682
cprestamos_personales	0.00413085034961615	0.00092630717672494	0.000945301422248958
Master_msaldopesos	0.00383764936586733	0.00593763017497465	0.00489838009710824
ctarjeta_debito	0.00341845559621526	0.00810186375026422	0.00829287156791131
Visa_mpagado	0.00318760723740572	0.0130215517398551	0.00734757014566236
Visa_mconsumototal	0.00314329475001033	0.00347319017365156	0.0069608559274696
ctransferencias_emitidas	0.00294613177703765	0.00379605903821371	0.00541399905469858
mcuenta_debitos_automaticos	0.00283464025742557	0.00650145396800956	0.00498431659003996
thomebanking	0.0027718789588017	0.00213317112896634	0.00287887251321274
mplazo_fijo_dolares	0.0026304705768067	0.0170335462603572	0.00421088815365445
ccaja_seguridad	0.00261646749182621	0.0108038388013445	0.00335152322433722
ccallcenter_trx	0.00254075244899023	0.0121872391421773	0.0054999355476303
cpagomiscuentas	0.00238849245377447	0.00472222999003382	0.00532806256176685
Visa_mconsumosdolares	0.00219176368197602	0.0030756336289983	0.00382417393546169
ccomisiones_mantenimiento	0.00205250454994336	0.0037793619833084	0.00386714218192756
ccuenta_debitos_automaticos	0.00203011701906281	0.0037087895625517	0.00322261848493963
Master_msaldototal	0.00198583355021129	0.00333777945022537	0.00369526919606411
Master_cconsumos	0.00188199730068188	0.00577440581080447	0.00352339621020066
cmobile_app_trx	0.00170037018528745	0.000527793889716797	0.0014609203798393
Master_fultimo_cierre	0.00161432156258694	0.00265339661641223	0.0034804279637348
mextraccion_autoservicio	0.00161207216460946	0.00529308837379394	0.00799209384265028
mtarjeta_visa_descuentos	0.00151225606729283	0.0162415805999566	0.00872255403256993
ctarjeta_visa_debitos_automaticos	0.0014720289376317	0.00236980962876847	0.00313668199200791
cseguro_accidentes_personales	0.00147142397581919	0.00451670462489159	0.0023632535556224
Master_mpagominimo	0.00130990502371123	0.00215936432694701	0.00249215829501998
Visa_mpagosdolares	0.00128855214534252	0.00185127428054884	0.0020195075838955
catm_trx	0.00119430154520923	0.00308576179227166	0.00189060284449792
cextraccion_autoservicio	0.00100964879574875	0.00269524775839622	0.00451166587891548
mtarjeta_master_consumo	0.000885179098980667	0.00286134393364157	0.00171872985863447
ctarjeta_master_trx	0.000883538289314078	0.00232750229175434	0.00128904739397585
active_quarter	0.000809489560689584	0.000364392116368231	0.000558587204056202
Visa_fultimo_cierre	0.000807290363209736	0.00130651088611706	0.0020195075838955
Master_mconsumospesos	0.000781247202450592	0.00203491020429684	0.00305074549907618
tcallcenter	0.000764977125745792	0.0032502010925117	0.00210544407682723
cplazo_fijo	0.000741418169702866	0.00306835193263175	0.000902333175783096
matm	0.000706350535555772	0.00137684728930608	0.0020195075838955
ccajas_consultas	0.000645765678811525	0.00678540686208374	0.00133201564044171
minversion2	0.000387114680968178	0.00479697311049317	0.000816396682851373
Master_mpagosdolares	0.00036918731355287	0.00040904695697497	0.00103123791518068
ctarjeta_visa_descuentos	0.000266811979630369	0.00632041898953758	0.00382417393546169
Visa_msaldodolares	0.000264672393951994	0.000604857585589894	0.000601555450522064
Master_status	0.000235364940830262	0.000250368703001002	0.000300777725261032
Master_mconsumototal	0.000227523973418218	0.000728701864189352	0.00098826966871482
Visa_Finiciomora	0.000145070033715308	0.000414077774390706	0.000128904739397585
Master_msaldodolares	0.000141367370355566	0.000112740364844953	0.000128904739397585
Master_mconsumosdolares	0.000139629059210334	0.000243351536391522	0.000644523696987926
mttarjeta_master_debitos_automaticos	0.000128987399920117	0.000154352321240223	0.000300777725261032
matm_other	0.000103482268179315	0.00020346773547502	0.000343745971726894
Visa_madelantopesos	6.53857294501074e-05	4.32276471270236e-05	0.000171872985863447
ctarjeta_master_debitos_automaticos	5.49845669441169e-05	0.000350749033748038	0.000128904739397585
Visa_status	5.34096967384071e-05	0.000105892687361255	8.59364929317235e-05
cseguro_vida	4.95051756545303e-05	0.000388811222565013	0.00025780947879517
ctarjeta_master	4.95016300828612e-05	6.15261366693972e-05	8.59364929317235e-05
Master_mpagado	4.64691643902789e-05	0.000244335206925266	0.000214841232329309
ccajas_trx	4.52596585496136e-05	0.000189742284307719	0.000171872985863447
mdescubierto_preacordado	3.02099500144919e-05	5.08324816399162e-05	4.29682464658617e-05
cseguro_vivienda	1.79227444891469e-05	8.63634216438102e-05	4.29682464658617e-05
internet	1.52264893978159e-05	3.49401040794388e-05	4.29682464658617e-05
mforex_sell	4.05915153625544e-06	7.98753145484533e-05	8.59364929317235e-05
catm_trx_other	8.34596262362674e-07	4.81824320377355e-05	0.000128904739397585
Visa_delinquency	6.97952782247554e-07	9.44165311342384e-05	8.59364929317235e-05
Visa_madelantodolares	2.07046675927783e-10	2.7905513354224e-05	8.59364929317235e-05
Visa_cadelantosefectivo	9.59436869503235e-11	1.43986556388657e-05	4.29682464658617e-05
mcajeros_propios_descuentos	1.23534951232341e-12	0.000150129349190364	0.000128904739397585
ccajeros_propios_descuentos	1.20765729762343e-12	0.000239214100909815	0.000214841232329309
Master_madelantopesos	6.52337978030124e-13	1.01899396836989e-05	4.29682464658617e-05
cforex_sell	2.83950965468077e-14	8.11187628076953e-05	8.59364929317235e-05
cforex	1.80949094755422e-14	7.81629991748984e-05	0.000128904739397585
